product_group,category,manufacturer,model,local,selling_price,UPC,SKU,last_scan,last_followed,sku,country,EAN
Cuisine,Cuisine,Philips,HD9350/92,FR,36.47,,B075FC8ZJ3,il y a12 heures,8 jours à partir de maintenant,B075FC8ZJ3,France,871010381725.0
Personal Care Appliances,Appareils électroniques,Philips Consumer Lifestyle B.V.,NEO125 990000413,FR,32.99,,B079RRVLGQ,il y a6 heures,15 jours,B079RRVLGQ,France,871010384403.0
Personal Care Appliances,Beauté et hygiène,Procter & Gamble,4210201200758,FR,25.0,,B07DGMWKK9,il y a11 heures,8 jours à partir de maintenant,B07DGMWKK9,France,421020120075.0
Ordinateur personnel,Personal Computers,Logitech,910-005470,FR,89.99,,B07GS6ZS8J,il y a11 heures,14 jours,B07GS6ZS8J,France,509920608026.0
Fournitures de bureau,Accessoire,HP,3JB05AE,FR,32.99,192545191432.0,B07GTWD7Z7,il y a11 heures,3 jours à partir de maintenant,B07GTWD7Z7,France,19254519143.0
Sports,Sport,Gritin,G3227,FR,12.99,815000025683.0,B07L9WLKZQ,il y a4 mois,9 jours à partir de maintenant,B07L9WLKZQ,France,81500002568.0
Instruments de musique,Appareils électroniques,Audio-Technica,AT-LP60XBTBK,FR,229.0,,B07MVPRSHZ,il y a10 heures,8 jours,B07MVPRSHZ,France,496131014728.0
Kamera,Zubehör,Fujifilm,16386016 mini 2pack,DE,18.99,745313129931.0,B0000C73CQ,il y a1 jours,5 jours,B0000C73CQ,Germany,
Musikinstrumente,Elektronik,Ernie Ball,P02221,DE,7.5,603283005955.0,B0002M6CVC,il y a17 heures,11 jours à partir de maintenant,B0002M6CVC,Germany,74969912221.0
Personal Care Appliances,Badartikel,Beurer GmbH,FT-09,DE,11.49,421115791155.0,B0009G5BRW,il y a1 jours,5 jours à partir de maintenant,B0009G5BRW,Germany,42111579115.0
Luggage,,Eastpak,EK000620008,DE,49.0,194116946687.0,B000CRBEJ2,il y a1 jours,le 13 mar. 2022,B000CRBEJ2,Germany,3254644620.0
Musikinstrumente,Zubehör,D'Addario,EJ45,DE,18.2,19954121266.0,B000EEL6J6,il y a1 jours,15 jours,B000EEL6J6,Germany,19954121266.0
Heim und Haus – Heimwerken,Werkzeug,Bosch,2607019329,DE,42.93,,B000P4IQN4,il y a9 heures,4 jours à partir de maintenant,B000P4IQN4,Germany,316514037952.0
Shoes,Schuhe,Crocs,10001,DE,49.99,841158002467.0,B0014BYHGC,il y a1 jours,16 jours,B0014BYHGC,Germany,84115800246.0
Musikinstrumente,Wireless Phone Accessory,Beyerdynamic,474746,DE,159.0,647336148176.0,B0016MNAAI,il y a1 jours,il y a2 mois,B0016MNAAI,Germany,934006951573.0
Textilien,Textilien,Calvin Klein Europe B.V. Underwear,0000U2662G,DE,42.9,,B001BEAWXY,il y a3 heures,4 jours à partir de maintenant,B001BEAWXY,Germany,505114528336.0
Drugstore,Badartikel,Optimum Nutrition,1031667,DE,43.99,748927028614.0,B002DYIZH6,il y a15 heures,12 jours,B002DYIZH6,Germany,74892706490.0
Heim und Haus – Heimwerken,Werkzeug,Wolfcraft GmbH,4146000,DE,3.49,,B002OHKHOQ,3 minutes,4 heures à partir de maintenant,B002OHKHOQ,Germany,400688541460.0
KFZ-Zubehör,Automotive,Bosch,H301,DE,10.55,759119184063.0,B002ZRQ4BA,il y a1 jours,10 jours à partir de maintenant,B002ZRQ4BA,Germany,75911918406.0
Elektronik,Badartikel,Duracell,MN21,DE,6.99,627614141488.0,B003UOWDCG,il y a1 jours,8 jours,B003UOWDCG,Germany,803051414281.0
Heim und Haus,Werkzeug,Stanley,0-30-687,DE,8.1,,B003Y6ISWO,il y a3 mois,9 jours à partir de maintenant,B003Y6ISWO,Germany,325356030687.0
Heim und Haus,Housewares,Foppapedretti,9900420012,DE,220.0,787162695779.0,B0061J9OME,il y a13 heures,il y a5 mois,B0061J9OME,Germany,801344042012.0
Haushaltswaren,Home,De'Longhi,DLSC500,DE,17.0,,B008YETL18,il y a5 heures,10 jours,B008YETL18,Germany,800439932949.0
Home Improvement,Werkzeug,Rubson,1619481,DE,15.84,,B0092MEP58,le 11 mar. 2020,,B0092MEP58,Germany,317804069067.0
Heim und Haus – Heimwerken,Bürobedarf & Schreibwaren,3M,40021915,DE,7.9,,B00H5NQVQW,il y a2 heures,le 08 mar. 2021,B00H5NQVQW,Germany,404671973224.0
Musikinstrumente,Badartikel,Alpine,AMS-PARTYPLUG-CLR,DE,13.75,,B00REB9VTO,il y a12 heures,le 05 sept. 2022,B00REB9VTO,Germany,871715402355.0
Haushaltswaren,Haushaltswaren,Rowenta,ZR200520,DE,11.49,787162573800.0,B01539XFLI,il y a10 heures,le 23 nov. 2022,B01539XFLI,Germany,366273495615.0
Heim und Haus,Haushaltswaren,Feniks Sp. z o.o.,Feniks Eco Firelighters 500 pcs,DE,31.9,,B019H693FA,il y a7 heures,le 31 mar. 2022,B019H693FA,Germany,590826278266.0
Computer & Zubehör,Elektronik,Logitech,960-001063,DE,39.99,190268110068.0,B01BGBJ8Y0,il y a10 heures,il y a5 mois,B01BGBJ8Y0,Germany,505453300055.0
Personal Care Appliances,Badartikel,Philips Consumer Lifestyle B.V.,QP220/50,DE,24.99,,B01FFOY006,il y a3 heures,15 jours,B01FFOY006,Germany,871010378742.0
Videospiele,Zubehör,Sony,CUH-ZCT2EX/E,DE,59.99,711719870050.0,B01GVQUX3U,il y a7 heures,14 jours,B01GVQUX3U,Germany,71171987005.0
Heim und Haus,Haushaltswaren,Vileda,163430,DE,34.32,,B01HTTQ6A2,il y a7 heures,6 jours à partir de maintenant,B01HTTQ6A2,Germany,402310319411.0
Personal Care Appliances,Badartikel,Helen of Troy,RVDR5222F,DE,62.99,761318999225.0,B01HZ5K8UE,il y a2 mois,il y a10 mois,B01HZ5K8UE,Germany,76131835222.0
Lawn & Patio,Haushaltswaren,INUL8|#Intex,64124,DE,59.9,,B01IZVSAKC,il y a6 heures,le 18 oct. 2021,B01IZVSAKC,Germany,694105740636.0
Haushaltswaren,Haushaltswaren,iRobot,SKU 4510416,DE,19.99,,B01JP3M6O0,il y a7 heures,7 jours à partir de maintenant,B01JP3M6O0,Germany,506035928493.0
Heim und Haus,Haushaltswaren,Philips,9290012152C,DE,22.99,,B01KHILJ5O,il y a6 heures,le 29 oct. 2022,B01KHILJ5O,Germany,871869658601.0
Heim und Haus,Haushaltswaren,Philips,929001234391,DE,22.99,,B01KHIM7OG,il y a7 heures,le 04 sept. 2022,B01KHIM7OG,Germany,871869658631.0
Personal Care Appliances,Misc.,RENPHO,ES-CS20M,DE,39.99,768390264852.0,B01N1UX8RW,il y a3 heures,il y a2 mois,B01N1UX8RW,Germany,76839026501.0
Bürobedarf & Schreibwaren,Spielzeug,CRAYOLA,585100,DE,24.99,46903196846.0,B071CP6X88,8 minutes,8 jours à partir de maintenant,B071CP6X88,Germany,37190413945.0
Personal Care Appliances,Badartikel,Philips Consumer Lifestyle B.V.,QP230/50,DE,37.99,,B073PD6YRQ,il y a7 heures,il y a5 heures,B073PD6YRQ,Germany,871010382197.0
Sports,Misc.,Super Sparrow,X-Black-17oz,DE,13.95,,B073YQ5KSX,le 13 mar. 2020,,B073YQ5KSX,Germany,
Personal Care Appliances,Badartikel,Remington,S 8540,DE,31.49,,B073ZG6J9N,il y a3 heures,5 jours,B073ZG6J9N,Germany,400849693843.0
Haushaltswaren,Haushaltswaren,Philips,HD9350/92,DE,54.99,,B075FC8ZJ3,il y a2 heures,il y a18 heures,B075FC8ZJ3,Germany,871010381725.0
Personal Care Appliances,Elektronik,Philips,NEO125 990000413,DE,27.51,,B079RRVLGQ,il y a1 jours,le 29 oct. 2022,B079RRVLGQ,Germany,871010384403.0
Personal Care Appliances,Badartikel,Procter & Gamble,4210201200758,DE,30.54,,B07DGMWKK9,il y a1 jours,6 jours à partir de maintenant,B07DGMWKK9,Germany,421020120075.0
Computer & Zubehör,Personal Computers,Logitech,910-005470,DE,44.0,,B07GS6ZS8J,il y a14 heures,il y a8 heures,B07GS6ZS8J,Germany,509920608026.0
Bürobedarf & Schreibwaren,Zubehör,HP,3JB05AE,DE,25.99,192545191432.0,B07GTWD7Z7,il y a1 jours,il y a4 mois,B07GTWD7Z7,Germany,19254519143.0
Ausrüstung,Ausrüstung,Gritin,G3227,DE,12.99,815000025683.0,B07L9WLKZQ,il y a1 jours,le 16 sept. 2021,B07L9WLKZQ,Germany,81500002568.0
Elektronik,Elektronik,Audio-Technica,AT-LP60XBTBK,DE,229.0,,B07MVPRSHZ,il y a10 heures,17 jours,B07MVPRSHZ,Germany,496131014728
